subject,model,explo_overlap,trial,labelled,looking_time
-38,CR,0.75,6,no_label,23
-38,CR,0.75,6,label,22
-38,CR,0.75,7,no_label,21
-38,CR,0.75,7,label,20
-37,CR,0.75,0,label,37
-37,CR,0.75,0,no_label,36
-37,CR,0.75,1,label,37
-37,CR,0.75,1,no_label,35
-37,CR,0.75,2,label,36
-37,CR,0.75,2,no_label,34
-37,CR,0.75,3,label,34
-37,CR,0.75,3,no_label,32
-37,CR,0.75,4,label,32
-37,CR,0.75,4,no_label,31
-37,CR,0.75,5,label,31
-37,CR,0.75,5,no_label,29
-37,CR,0.75,6,label,29
-37,CR,0.75,6,no_label,28
-37,CR,0.75,7,label,28
-37,CR,0.75,7,no_label,26
-36,CR,0.75,0,no_label,37
-36,CR,0.75,0,label,30
-36,CR,0.75,1,no_label,36
-36,CR,0.75,1,label,29
-36,CR,0.75,2,no_label,34
-36,CR,0.75,2,label,27
-36,CR,0.75,3,no_label,32
-36,CR,0.75,3,label,26
-36,CR,0.75,4,no_label,30
-36,CR,0.75,4,label,24
-36,CR,0.75,5,no_label,28
-36,CR,0.75,5,label,22
-36,CR,0.75,6,no_label,26
-36,CR,0.75,6,label,20
-36,CR,0.75,7,no_label,24
-36,CR,0.75,7,label,18
-35,CR,0.75,0,label,34
-35,CR,0.75,0,no_label,31
-35,CR,0.75,1,label,34
-35,CR,0.75,1,no_label,30
-35,CR,0.75,2,label,32
-35,CR,0.75,2,no_label,29
-35,CR,0.75,3,label,30
-35,CR,0.75,3,no_label,27
-35,CR,0.75,4,label,29
-35,CR,0.75,4,no_label,25
-35,CR,0.75,5,label,27
-35,CR,0.75,5,no_label,24
-35,CR,0.75,6,label,25
-35,CR,0.75,6,no_label,22
-35,CR,0.75,7,label,23
-35,CR,0.75,7,no_label,20
-34,CR,0.75,0,no_label,33
-34,CR,0.75,0,label,32
-34,CR,0.75,1,no_label,30
-34,CR,0.75,1,label,31
-34,CR,0.75,2,no_label,28
-34,CR,0.75,2,label,30
-34,CR,0.75,3,no_label,27
-34,CR,0.75,3,label,28
-34,CR,0.75,4,no_label,25
-34,CR,0.75,4,label,26
-34,CR,0.75,5,no_label,23
-34,CR,0.75,5,label,24
-34,CR,0.75,6,no_label,22
-34,CR,0.75,6,label,23
-34,CR,0.75,7,no_label,20
-34,CR,0.75,7,label,21
-33,CR,0.75,0,label,34
-33,CR,0.75,0,no_label,33
-33,CR,0.75,1,label,32
-33,CR,0.75,1,no_label,31
-33,CR,0.75,2,label,30
-33,CR,0.75,2,no_label,30
-33,CR,0.75,3,label,28
-33,CR,0.75,3,no_label,28
-33,CR,0.75,4,label,27
-33,CR,0.75,4,no_label,27
-33,CR,0.75,5,label,25
-33,CR,0.75,5,no_label,25
-33,CR,0.75,6,label,23
-33,CR,0.75,6,no_label,24
-33,CR,0.75,7,label,22
-33,CR,0.75,7,no_label,22
-32,CR,0.625,0,no_label,33
-32,CR,0.625,0,label,33
-32,CR,0.625,1,no_label,30
-32,CR,0.625,1,label,32
-32,CR,0.625,2,no_label,29
-32,CR,0.625,2,label,30
-32,CR,0.625,3,no_label,27
-32,CR,0.625,3,label,29
-32,CR,0.625,4,no_label,25
-32,CR,0.625,4,label,27
-32,CR,0.625,5,no_label,24
-32,CR,0.625,5,label,25
-32,CR,0.625,6,no_label,22
-32,CR,0.625,6,label,23
-32,CR,0.625,7,no_label,21
-32,CR,0.625,7,label,21
-31,CR,0.625,0,label,41
-31,CR,0.625,0,no_label,34
-31,CR,0.625,1,label,38
-31,CR,0.625,1,no_label,32
-31,CR,0.625,2,label,35
-31,CR,0.625,2,no_label,29
-31,CR,0.625,3,label,32
-31,CR,0.625,3,no_label,27
-31,CR,0.625,4,label,29
-31,CR,0.625,4,no_label,25
-31,CR,0.625,5,label,26
-31,CR,0.625,5,no_label,22
-31,CR,0.625,6,label,24
