"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
685,"Labels as Features","DMN","0",5,"no_label",33,"Category",27.6336162973103
685,"Labels as Features","DMN","0",6,"label",27,"Category",27.2515611461942
685,"Labels as Features","DMN","0",6,"no_label",30,"Category",24.8940720013726
685,"Labels as Features","DMN","0",7,"label",24,"Category",24.7510556438411
685,"Labels as Features","DMN","0",7,"no_label",26,"Category",22.1545277054349
687,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
687,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
687,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
687,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
687,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
687,"Compound Representations","DMN","0",2,"no_label",40,"Category",36.5541194807638
687,"Compound Representations","DMN","0",3,"label",40,"Category",34.53169156558
687,"Compound Representations","DMN","0",3,"no_label",35,"Category",33.8145751848261
687,"Compound Representations","DMN","0",4,"label",34,"Category",32.0311860632269
687,"Compound Representations","DMN","0",4,"no_label",29,"Category",31.0750308888885
687,"Compound Representations","DMN","0",5,"label",28,"Category",29.5306805608739
687,"Compound Representations","DMN","0",5,"no_label",24,"Category",28.3354865929508
687,"Compound Representations","DMN","0",6,"label",22,"Category",27.0301750585208
687,"Compound Representations","DMN","0",6,"no_label",18,"Category",25.5959422970131
